门店名称,省份,城市,城市等级,区域,周边1km小区数量,周边中小学数量(500m),周边交通枢纽数量(300m),商业配套数量(500m),商务办公数量(500m),餐饮店数量(500m),Cluster_ID,聚类标签,画像名称
味知香预制菜(环城西路店),江苏省,泰州市,三线城市,泰兴市,66,3,2,23,4,86,0,1,商务综合型
味知香预制菜(新区菜场店),江苏省,泰州市,三线城市,泰兴市,23,0,1,21,3,119,0,1,商务综合型
味知香半成品菜(富康花园东区店),江苏省,泰州市,三线城市,兴化市,66,1,3,5,0,28,0,1,商务综合型
味知香,江苏省,盐城市,三线城市,盐都区,104,0,1,30,3,100,0,1,商务综合型
味知香(文苑路店),江苏省,盐城市,三线城市,亭湖区,106,1,0,29,5,128,0,1,商务综合型
味知香(盐城大庆路旗舰店),江苏省,盐城市,三线城市,亭湖区,117,4,7,10,8,71,3,4,成熟社区型
味知香(江苏省盐南高新区店),江苏省,盐城市,三线城市,盐都区,25,6,0,10,1,138,0,1,商务综合型
味知香(解放北路),江苏省,盐城市,三线城市,亭湖区,70,6,8,9,3,78,3,4,成熟社区型
味知香半成品菜(盛世明都店),江苏省,盐城市,三线城市,盐都区,25,4,3,10,1,45,0,1,商务综合型
味知香(福缘居小区店),江苏省,盐城市,三线城市,亭湖区,104,8,0,18,5,149,3,4,成熟社区型
环城北路味知香,江苏省,盐城市,三线城市,亭湖区,74,6,9,12,6,111,3,4,成熟社区型
味知香半成品菜(大宇花苑店),江苏省,盐城市,三线城市,盐都区,32,2,2,12,3,49,0,1,商务综合型
味知香半成品菜(万户新村三区店),江苏省,盐城市,三线城市,亭湖区,99,5,2,26,0,145,3,4,成熟社区型
味知香(日月路菜市场店),江苏省,盐城市,三线城市,盐都区,33,7,3,13,1,144,3,4,成熟社区型
味知香半成品菜(兆泉菜市场店),江苏省,盐城市,三线城市,盐都区,38,1,0,11,0,25,0,1,商务综合型
味知香(三河家园店),江苏省,盐城市,三线城市,盐都区,22,3,3,3,1,40,0,1,商务综合型
味知香(立新路店),江苏省,盐城市,三线城市,滨海县,63,7,5,46,9,381,1,2,商业竞争型
味知香(恒生市场店),江苏省,盐城市,三线城市,大丰区,77,2,3,31,6,241,3,4,成熟社区型
味知香(射阳国投海都路菜场店),江苏省,盐城市,三线城市,射阳县,18,2,2,26,3,121,0,1,商务综合型
味知香(中粱颐景园店),江苏省,盐城市,三线城市,盐都区,13,0,0,3,0,12,0,1,商务综合型
味知香(园中园菜场店),江苏省,盐城市,三线城市,亭湖区,21,1,1,11,1,56,0,1,商务综合型
味知香(时堰镇中心幼儿园店),江苏省,盐城市,三线城市,东台市,4,2,0,9,3,46,0,1,商务综合型
味知香半成品菜(跃南新苑店),江苏省,盐城市,三线城市,盐都区,57,1,3,19,1,106,0,1,商务综合型
味知香(郭猛店),江苏省,盐城市,三线城市,盐都区,8,1,0,34,4,111,0,1,商务综合型
味知香半成品菜(达阳路店),江苏省,盐城市,三线城市,射阳县,63,4,5,35,3,159,3,4,成熟社区型
味知香半成品菜(人民南路店),江苏省,盐城市,三线城市,盐都区,23,3,2,13,1,90,0,1,商务综合型
味知香半成品菜(成才路店),江苏省,盐城市,三线城市,盐都区,20,2,2,34,4,105,0,1,商务综合型
味知香半成品菜(红旗路店),江苏省,盐城市,三线城市,响水县,28,3,1,25,1,82,0,1,商务综合型
